university,year,rank,state,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9
Boston University,2025,41.0,MA,0.06523852795362473,0.0,0.0,0.0,0.17758288979530334,0.7545763254165649,0.0,0.0,0.0,0.0
Rutgers University New Brunswick,2024,40.0,NJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9960638284683228,0.0
Rutgers University New Brunswick,2026,42.0,NJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9929524064064026,0.0
University of Maryland College Park,2025,44.0,MD,0.23440492153167725,0.0,0.0,0.0,0.0,0.6280282139778137,0.13043558597564697,0.0,0.0,0.0
University of Maryland College Park,2026,42.0,MD,0.0,0.0,0.9976465702056885,0.0,0.0,0.0,0.0,0.0,0.0,0.0
University of Washington,2025,46.0,WA,0.3855578303337097,0.0,0.0,0.0,0.0,0.2581247389316559,0.3548397421836853,0.0,0.0,0.0
University of Rochester,2024,47.0,NY,0.9913983345031738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Purdue University,2025,46.0,IN,0.0,0.40991371870040894,0.0,0.0,0.0,0.5893987417221069,0.0,0.0,0.0,0.0
University of Georgia,2025,46.0,GA,0.0,0.0,0.0,0.0,0.0,0.8453121185302734,0.1535005420446396,0.0,0.0,0.0
Northeastern University,2025,54.0,MA,0.06676775217056274,0.0,0.0,0.0,0.0,0.25638696551322937,0.31312164664268494,0.0,0.33087265491485596,0.0320415124297142
Texas A&M University College Station,2025,51.0,TX,0.0,0.0,0.0,0.0,0.0,0.9995101690292358,0.0,0.0,0.0,0.0
George Washington University,2023,62.0,DC,0.0,0.9986047148704529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pennsylvania State University University Park,2026,59.0,PA,0.0,0.14380092918872833,0.0,0.15893572568893433,0.0,0.04765761271119118,0.4481493830680847,0.0,0.0,0.19191624224185944
North Carolina State University,2026,64.0,NC,0.23573534190654755,0.0,0.0,0.0,0.0,0.5154706835746765,0.24684147536754608,0.0,0.0,0.0
University of Massachusetts Amherst,2026,64.0,MA,0.5849128365516663,0.0,0.0,0.16616791486740112,0.09467193484306335,0.15337510406970978,0.0,0.0,0.0,0.0
Michigan State University,2026,64.0,MI,0.0,0.0,0.0,0.0,0.0,0.9807090163230896,0.019069017842411995,0.0,0.0,0.0
Brandeis University,2025,63.0,MA,0.0,0.0,0.0,0.0,0.0,0.7896205186843872,0.2036648690700531,0.0,0.0,0.0
University of Pittsburgh,2026,,PA,0.2617129981517792,0.30615898966789246,0.0,0.0,0.0,0.0,0.4244839549064636,0.0,0.0,0.0
Binghamton University,2025,73.0,NY,0.20472854375839233,0.0,0.0,0.0,0.0,0.790177047252655,0.0,0.0,0.0,0.0
Syracuse University,2026,75.0,NY,0.0,0.0,0.0,0.0,0.0,0.0,0.8767827153205872,0.0,0.0,0.12076810002326965
University of Buffalo,2024,76.0,NY,0.0,0.0,0.0,0.0,0.0,0.5830532312393188,0.06724634021520615,0.0,0.34868142008781433,0.0
University of California Riverside,2025,76.0,CA,0.2772810161113739,0.06855561584234238,0.0,0.3052508533000946,0.0,0.3212423324584961,0.0,0.0,0.0,0.027145065367221832
Clemson University,2025,80.0,SC,0.0,0.0,0.2518344521522522,0.0,0.0,0.0,0.7467933893203735,0.0,0.0,0.0
Colorado School of Mines,2023,89.0,CO,0.0,0.998823344707489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stevens Institute of Technology,2025,76.0,NJ,0.0,0.0,0.0,0.0,0.0,0.0,0.997212290763855,0.0,0.0,0.0
New Jersey Institute of Technology,2026,80.0,NJ,0.0,0.37179288268089294,0.0,0.35922250151634216,0.0,0.26652202010154724,0.0,0.0,0.0,0.0
