,High-rank (better),Low-rank (worse),diff_high_minus_low
Topic_0,0.12511018277811153,0.09371810551318857,0.03139207726492296
Topic_1,0.08930179809353181,0.08944484763951213,-0.0001430495459803227
Topic_2,0.04347976776106017,0.019801625843953202,0.023678141917106967
Topic_3,0.06858145159536175,0.1468289407591025,-0.07824748916374075
Topic_4,0.052765169580067904,0.020859428302005486,0.03190574127806242
Topic_5,0.23527994602253394,0.3754112322435335,-0.14013128622099957
Topic_6,0.18175534967200033,0.1324074218325593,0.04934792783944103
Topic_7,0.01782234651701791,0.0032257470819685194,0.01459659943504939
Topic_8,0.1511349621827581,0.09554550317288549,0.05558945900987261
Topic_9,0.03253074994842921,0.020197922122423297,0.01233282782600591
