university,year,state,rank,IPEDS,policy_typology,token_count,restrictive_count,innovation_count,admin_count,faculty_count,restrictive_density,innovation_density,admin_density,faculty_density,max_density,second_density,density_gap
Georgia Institute of Technology,2026,GA,32.0,139755.0,Restrictive / Compliance-Driven,6430,25,20,15,0,0.0038880248833592537,0.003110419906687403,0.0023328149300155523,0.0,0.0038880248833592537,0.003110419906687403,0.0007776049766718509
University of California Davis,2026,CA,32.0,110644.0,Administrative Risk-Management,523,0,3,4,0,0.0,0.0057361376673040155,0.0076481835564053535,0.0,0.0076481835564053535,0.0057361376673040155,0.001912045889101338
University of Illinois Urbana Champaign,2026,IL,36.0,145637.0,Restrictive / Compliance-Driven,603,3,1,0,0,0.004975124378109453,0.001658374792703151,0.0,0.0,0.004975124378109453,0.001658374792703151,0.0033167495854063015
Boston College,2026,MA,36.0,164924.0,Restrictive / Compliance-Driven,2087,49,4,0,0,0.02347867752755151,0.0019166267369429804,0.0,0.0,0.02347867752755151,0.0019166267369429804,0.02156205079060853
Tufts University,2026,MA,36.0,168148.0,Administrative Risk-Management,543,3,2,4,0,0.0055248618784530384,0.003683241252302026,0.007366482504604052,0.0,0.007366482504604052,0.0055248618784530384,0.0018416206261510134
University of Wisconsin Madison,2024,WI,35.0,240444.0,Restrictive / Compliance-Driven,1128,19,1,6,0,0.016843971631205674,0.0008865248226950354,0.005319148936170213,0.0,0.016843971631205674,0.005319148936170213,0.01152482269503546
University of Wisconsin Madison,2026,WI,36.0,240444.0,Innovation-Forward,1156,17,19,0,0,0.014705882352941176,0.01643598615916955,0.0,0.0,0.01643598615916955,0.014705882352941176,0.0017301038062283725
University of California Santa Barbara,2026,CA,40.0,110705.0,Innovation-Forward,1027,4,6,6,0,0.0038948393378773127,0.005842259006815969,0.005842259006815969,0.0,0.005842259006815969,0.005842259006815969,0.0
Ohio State University Columbus,2026,OH,40.0,204796.0,Innovation-Forward,4508,17,34,2,0,0.0037710736468500442,0.0075421472937000885,0.00044365572315882877,0.0,0.0075421472937000885,0.0037710736468500442,0.0037710736468500442
Boston University,2025,MA,41.0,164988.0,Innovation-Forward,330,0,1,0,0,0.0,0.0030303030303030303,0.0,0.0,0.0030303030303030303,0.0,0.0030303030303030303
Rutgers University New Brunswick,2024,NJ,40.0,186380.0,Restrictive / Compliance-Driven,504,5,3,3,0,0.00992063492063492,0.005952380952380952,0.005952380952380952,0.0,0.00992063492063492,0.005952380952380952,0.003968253968253968
Rutgers University New Brunswick,2026,NJ,42.0,186380.0,Restrictive / Compliance-Driven,378,5,2,1,0,0.013227513227513227,0.005291005291005291,0.0026455026455026454,0.0,0.013227513227513227,0.005291005291005291,0.007936507936507936
University of Maryland College Park,2025,MD,44.0,163286.0,Innovation-Forward,2441,10,17,5,0,0.004096681687832855,0.006964358869315854,0.0020483408439164277,0.0,0.006964358869315854,0.004096681687832855,0.0028676771814829987
University of Maryland College Park,2026,MD,42.0,163286.0,Innovation-Forward,574,1,7,1,0,0.0017421602787456446,0.012195121951219513,0.0017421602787456446,0.0,0.012195121951219513,0.0017421602787456446,0.010452961672473868
University of Washington,2025,WA,46.0,236948.0,Restrictive / Compliance-Driven,562,3,3,0,0,0.005338078291814947,0.005338078291814947,0.0,0.0,0.005338078291814947,0.005338078291814947,0.0
